-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,⇣,⇣,↑,↑,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-
-,+,+,+,+,⇠,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,+,+,+,+,-
-,+,+,+,+,⇠,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,+,+,+,+,-
-,+,+,+,+,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,⇢,+,+,+,+,-
-,+,+,+,+,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,↓,↓,⇡,⇡,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
