-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,⇣,⇣,↑,↑,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-
-,+,+,+,+,⇠,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,+,+,+,+,-
-,+,+,+,+,⇠,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,+,+,+,+,-
-,+,+,+,+,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,⇢,+,+,+,+,-
-,+,+,+,+,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,↓,↓,⇡,⇡,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
